Title: Line and Mean Opacities for Ultracool Dwarfs and Extrasolar Planets
Authors: Freedman R.,  Marley M.S., Lodders K.
Table: Mean Opacities for [M/H] = -0.3
================================================================================
Byte-by-byte Description of file: datafile3.txt
--------------------------------------------------------------------------------
   Bytes Format Units     Label                   Explanations
--------------------------------------------------------------------------------
   1-  4 I4     K         Temp      Gas temperature 
   6- 10 E5.0   0.1PA     Pressure  Gas pressure in units of dyne/cm^2^ 
  12- 21 E10.4  g/cm^3    Density   Gas density (1)
  23- 32 E10.4  cm^2/g    kappaR    Rosseland mean opacity (1)
  34- 43 E10.4  cm^2/g    kappaP    Planck mean opacity (1)
--------------------------------------------------------------------------------
Note (1): For [M/H] = -0.3, compared to solar abundances of Lodders (2003).
--------------------------------------------------------------------------------
2300 1E+07 1.2273E-04 3.8759E-02 3.1967E+00 
2300 3E+07 3.6842E-04 6.7636E-02 3.4431E+00 
2300 1E+08 1.2286E-03 1.4073E-01 3.8273E+00 
2300 3E+08 3.6869E-03 2.8652E-01 4.7212E+00 
2600 3E+02 1.9925E-09 2.5581E-03 6.7434E-02 
2600 3E+03 2.5243E-08 9.8616E-03 1.4201E-01 
2600 1E+04 9.3020E-08 1.2264E-02 1.7329E-01 
2600 3E+04 2.9662E-07 1.3909E-02 2.3002E-01 
2600 1E+05 1.0304E-06 1.5850E-02 4.3321E-01 
2600 3E+05 3.1604E-06 1.8731E-02 1.0350E+00 
2600 1E+06 1.0684E-05 2.4362E-02 2.9133E+00 
2600 3E+06 3.2288E-05 3.4034E-02 5.1544E+00 
2600 1E+07 1.0812E-04 5.4563E-02 5.6305E+00 
2600 3E+07 3.2513E-04 9.2474E-02 6.0563E+00 
2600 1E+08 1.0854E-03 1.8492E-01 6.5199E+00 
2600 3E+08 3.2589E-03 3.8127E-01 7.2471E+00 
3000 1E+06 8.7939E-06 5.2568E-02 3.6888E+00 
3000 3E+06 2.7140E-05 6.8913E-02 7.8056E+00 
3000 1E+07 9.2123E-05 1.0046E-01 9.0456E+00 
3000 3E+07 2.7900E-04 1.5667E-01 9.9098E+00 
3000 1E+08 9.3552E-04 2.8557E-01 1.0790E+01 
3000 3E+08 2.8153E-03 5.3952E-01 1.1444E+01 
3500 1E+06 6.4549E-06 1.1687E-01 1.8236E+00 
3500 3E+06 2.1054E-05 1.7372E-01 5.9216E+00 
3500 1E+07 7.4495E-05 2.5737E-01 9.6018E+00 
3500 3E+07 2.3099E-04 3.7353E-01 1.2301E+01 
3500 1E+08 7.8652E-04 5.9291E-01 1.4832E+01 
3500 3E+08 2.3860E-03 9.5792E-01 1.6107E+01 
4000 1E+07 5.8042E-05 6.0544E-01 5.5115E+00 
4000 3E+07 1.8771E-04 9.1054E-01 9.2171E+00 
4000 1E+08 6.5927E-04 1.3645E+00 1.4120E+01 
4000 3E+08 2.0351E-03 1.9479E+00 1.7459E+01 
