# Title: Line and Mean Opacities for Ultra-cool Dwarfs and Extrasolar Planets
# Authors: Freedman R.,  Marley M.S., Lodders K.
# Table: Mean Opacities for [M/H] = 0.0
# Modified by Zifan Lin into rectangular grid
# Empty (low P-T) grid points filled with 75 K, 3.0E+2 dyne/cm2 data
# Pressure, density, kappaR and kappaP are isothermally extended to 1.0e13 Pa (1.0e14 0.1 Pa)
# Temp (K)	Pressure (0.1 Pa)	Density (g/cm3)	kappaR (cm2/g)	kappaP (cm2/g)
300	3.00E+02	2.8371E-08	1.2676E-05	4.6867E+00
300	3.00E+03	2.8371E-07	8.6050E-05	4.6028E+00
300	1.00E+04	9.4570E-07	2.5878E-04	4.7306E+00
300	3.00E+04	2.8371E-06	7.2343E-04	5.0259E+00
300	1.00E+05	9.4570E-06	2.2249E-03	5.1390E+00
300	3.00E+05	2.8371E-05	6.0142E-03	5.1429E+00
300	1.00E+06	9.4570E-05	1.6602E-02	5.1514E+00
300	3.00E+06	2.8371E-04	3.8357E-02	5.1794E+00
300	1.00E+07	9.4570E-04	8.6799E-02	5.2787E+00
300	3.00E+07	2.8371E-03	1.7094E-01	5.5581E+00
300	1.00E+08	9.4385E-03	3.3946E-01	4.9024E+00
300	3.00E+08	2.8258E-02	6.3583E-01	5.9733E+00
400	3.00E+02	2.1276E-08	1.8577E-05	2.3120E+00
400	3.00E+03	2.1277E-07	1.2353E-04	2.8842E+00
400	1.00E+04	7.0928E-07	3.4376E-04	3.4840E+00
400	3.00E+04	2.1278E-06	8.9091E-04	3.9132E+00
400	1.00E+05	7.0929E-06	2.5472E-03	4.1223E+00
400	3.00E+05	2.1278E-05	6.4300E-03	4.1431E+00
400	1.00E+06	7.0929E-05	1.6314E-02	4.1494E+00
400	3.00E+06	2.1278E-04	3.4499E-02	4.1676E+00
400	1.00E+07	7.0929E-04	6.8475E-02	4.2352E+00
400	3.00E+07	2.1278E-03	1.2014E-01	4.4237E+00
400	1.00E+08	7.0929E-03	2.3100E-01	5.0839E+00
400	3.00E+08	2.1278E-02	4.5817E-01	6.9673E+00
500	3.00E+02	1.7020E-08	4.6419E-05	3.1388E+00
500	3.00E+03	1.7021E-07	2.7133E-04	3.1329E+00
500	1.00E+04	5.6736E-07	7.7130E-04	3.1367E+00
500	3.00E+04	1.7021E-06	2.1161E-03	3.2158E+00
