Title: Line and Mean Opacities for Ultracool Dwarfs and Extrasolar Planets
Authors: Freedman R.,  Marley M.S., Lodders K.
Table: Mean Opacities for [M/H] = +0.3
================================================================================
Byte-by-byte Description of file: datafile2.txt
--------------------------------------------------------------------------------
   Bytes Format Units     Label                   Explanations
--------------------------------------------------------------------------------
   1-  4 I4     K         Temp      Gas temperature 
   6- 10 E5.0   0.1PA     Pressure  Gas pressure in units of dyne/cm^2^ 
  12- 21 E10.4  g/cm^3    Density   Gas density (1)
  23- 32 E10.4  cm^2/g    kappaR    Rosseland mean opacity (1)
  34- 43 E10.4  cm^2/g    kappaP    Planck mean opacity (1)
--------------------------------------------------------------------------------
Note (1): For [M/H] = +0.3, compared to solar abundances of Lodders (2003).
--------------------------------------------------------------------------------
 300 3E+07 2.8635E-03 2.5304E-01 1.0580E+01 
 300 1E+08 9.4794E-03 3.9713E-01 5.8283E+00 
 300 3E+08 2.8380E-02 7.3050E-01 6.8579E+00 
 400 3E+02 2.1471E-08 2.8162E-05 4.5402E+00 
 400 3E+03 2.1474E-07 2.1061E-04 5.5434E+00 
 400 1E+04 7.1584E-07 6.0911E-04 6.7911E+00 
 400 3E+04 2.1477E-06 1.5923E-03 7.7231E+00 
 400 1E+05 7.1589E-06 4.5446E-03 8.1509E+00 
 400 3E+05 2.1477E-05 1.1422E-02 8.1930E+00 
 400 1E+06 7.1589E-05 2.8775E-02 8.1979E+00 
 400 3E+06 2.1477E-04 6.0288E-02 8.2162E+00 
 400 1E+07 7.1589E-04 1.1558E-01 8.2833E+00 
 400 3E+07 2.1477E-03 1.8929E-01 8.4698E+00 
 400 1E+08 7.1589E-03 3.2973E-01 9.1192E+00 
 400 3E+08 2.1477E-02 6.0202E-01 1.0972E+01 
 500 3E+02 1.7177E-08 6.7864E-05 6.2188E+00 
 500 3E+03 1.7177E-07 4.0617E-04 6.1917E+00 
 500 1E+04 5.7256E-07 1.1388E-03 6.1674E+00 
 500 3E+04 1.7178E-06 3.1483E-03 6.2653E+00 
 500 1E+05 5.7265E-06 9.8852E-03 6.6477E+00 
 500 3E+05 1.7181E-05 2.5897E-02 6.9701E+00 
 500 1E+06 5.7272E-05 5.7209E-02 7.0594E+00 
 500 3E+06 1.7181E-04 8.3215E-02 7.0804E+00 
 500 1E+07 5.7271E-04 1.3627E-01 7.1307E+00 
 500 3E+07 1.7181E-03 2.0178E-01 7.2682E+00 
 500 1E+08 5.7271E-03 3.1458E-01 7.7458E+00 
 500 3E+08 1.7181E-02 5.3476E-01 9.1095E+00 
 650 3E+02 1.3206E-08 3.1548E-04 4.4131E+00 
 650 3E+03 1.3213E-07 1.4932E-03 5.1736E+00 
 650 1E+04 4.4043E-07 3.2743E-03 5.1530E+00 
 650 3E+04 1.3213E-06 6.9995E-03 5.1099E+00 
 650 1E+05 4.4043E-06 1.6742E-02 5.1417E+00 
 650 3E+05 1.3213E-05 3.6637E-02 5.2315E+00 
 650 1E+06 4.4048E-05 7.9015E-02 5.4438E+00 
 650 3E+06 1.3216E-04 1.3838E-01 5.7112E+00 
 650 1E+07 4.4054E-04 2.1325E-01 5.8676E+00 
 650 3E+07 1.3216E-03 2.8814E-01 5.9842E+00 
 650 1E+08 4.4054E-03 4.1087E-01 6.3342E+00 
 650 3E+08 1.3216E-02 6.5888E-01 7.3285E+00 
