P_core (Pa)	M (Me)	R (Re)	P_surf (Pa)	CMF	CRF
4.435513e+11	1.217256	1.101163	-5.367290e+05	0.299965	0.493323
4.754388e+11	1.310760	1.125304	-1.491599e+06	0.299925	0.492322
5.097031e+11	1.410560	1.149601	-3.862850e+05	0.300080	0.491447
5.469382e+11	1.519392	1.174747	-1.214096e+06	0.299938	0.490347
5.869461e+11	1.635390	1.200002	-2.772961e+06	0.300022	0.489393
6.303210e+11	1.760892	1.225853	-8.571215e+05	0.300007	0.488355
6.772610e+11	1.896232	1.252207	-2.097751e+06	0.299958	0.487278
7.279642e+11	2.041560	1.278922	-2.182748e+06	0.299953	0.486218
7.828265e+11	2.197780	1.306029	-1.286969e+06	0.299994	0.485176
8.422443e+11	2.365951	1.333591	-9.862457e+05	0.300034	0.484117
9.068115e+11	2.547926	1.361797	-2.178205e+06	0.299963	0.482965
9.765283e+11	2.742176	1.390144	-1.322386e+06	0.300089	0.481935
1.052583e+12	2.953570	1.419371	-3.540305e+06	0.299968	0.480715
1.134976e+12	3.180131	1.448879	-3.176227e+06	0.299962	0.479558
1.224498e+12	3.424224	1.478890	-3.761072e+06	0.299935	0.478370
1.321547e+12	3.685579	1.509152	-1.417587e+06	0.300036	0.477254
1.427311e+12	3.968072	1.540058	-1.996435e+04	0.300045	0.476055
1.542185e+12	4.273337	1.571607	-1.909422e+06	0.299963	0.474778
1.666170e+12	4.600484	1.603439	-3.325168e+06	0.299990	0.473575
1.801246e+12	4.953500	1.635742	-4.920324e+06	0.299982	0.472360
1.948602e+12	5.334399	1.668484	-2.401687e+06	0.299909	0.471124
2.108634e+12	5.740850	1.701163	-6.037007e+06	0.300038	0.470055
2.284510e+12	6.183197	1.734612	-2.981664e+06	0.299938	0.468864
2.476232e+12	6.657095	1.768123	-6.543497e+06	0.299941	0.467780
2.686174e+12	7.167710	1.801916	-5.805343e+06	0.299934	0.466734
2.915923e+12	7.716692	1.835883	-4.559416e+06	0.299951	0.465751
3.167854e+12	8.307896	1.870069	-1.107274e+06	0.299966	0.464816
3.443552e+12	8.941448	1.904240	-7.543338e+06	0.300086	0.464000
3.747771e+12	9.629389	1.938975	-2.663118e+06	0.300013	0.463111
4.082095e+12	10.370155	1.973868	-4.035851e+06	0.299934	0.462272
4.448108e+12	11.160733	2.008462	-7.782448e+06	0.300061	0.461625
4.852148e+12	12.015414	2.043354	-2.098115e+06	0.300082	0.460947
5.298970e+12	12.940000	2.078545	-8.451283e+06	0.300000	0.460227
5.790156e+12	13.928253	2.113406	-7.153323e+06	0.300082	0.459639
6.335215e+12	15.000303	2.148660	-8.901217e+06	0.299995	0.458964
