# PKCl(GPa),aKCl(Å),T (K),phase,ahcp (Å),chcp (Å),afcc (Å),PFe(GPa)
 128.0 , 2.888 ,3051,e, 2.281 , 3.690 ,, 131.0 
 133.0 , 2.876 ,2725,e, 2.277 , 3.681 ,, 132.0 
 134.0 , 2.877 ,3777,e, 2.289 , 3.706 ,, 132.0 
 136.0 , 2.875 ,4114,e, 2.294 , 3.704 ,, 134.0 
 128.0 , 2.888 ,3020,e, 2.275 , 3.690 ,, 134.0 
 128.0 , 2.888 ,3080,e, 2.275 , 3.688 ,, 135.0 
 127.0 , 2.889 ,2885,e, 2.280 , 3.653 ,, 136.0 
 154.0 , 2.838 ,3411,e, 2.265 , 3.661 ,, 149.0 
 154.0 , 2.837 ,3422,e, 2.266 , 3.653 ,, 151.0 
 156.0 , 2.836 ,4092,e, 2.275 , 3.662 ,, 151.0 
 156.0 , 2.835 ,4057,e, 2.274 , 3.665 ,, 151.0 
 158.0 , 2.833 ,4269,e, 2.278 , 3.657 ,, 153.0 
 156.0 , 2.835 ,4046,e, 2.267 , 3.662 ,, 155.0 
 162.0 , 2.816 ,2624,e, 2.249 , 3.628 ,, 157.0 
 164.0 , 2.815 ,2459,e, 2.245 , 3.619 ,, 160.0 
 163.0 , 2.819 ,2697,e, 2.249 , 3.608 ,, 163.0 
 165.0 , 2.816 ,2887,e, 2.245 , 3.629 ,, 163.0 
 163.0 , 2.817 ,2537,e, 2.248 , 3.597 ,, 164.0 
 164.0 , 2.817 ,2815,e, 2.248 , 3.612 ,, 164.0 
 172.0 , 2.809 ,4389,e, 2.260 , 3.642 ,, 168.0 
 171.0 , 2.810 ,4111,e, 2.257 , 3.616 ,, 171.0 
 180.0 , 2.792 ,3383,e, 2.245 , 3.610 ,, 172.0 
 182.0 , 2.792 ,3834,e, 2.250 , 3.620 ,, 172.0 
 180.0 , 2.792 ,3383,e, 2.245 , 3.605 ,, 173.0 
 181.0 , 2.793 ,4208,e, 2.250 , 3.630 ,, 174.0 
 182.0 , 2.793 ,4316,e, 2.250 , 3.636 ,, 174.0 
 183.0 , 2.792 ,4460,e, 2.253 , 3.636 ,, 174.0 
 180.0 , 2.792 ,3153,e, 2.243 , 3.590 ,, 175.0 
 179.0 , 2.793 ,2981,e, 2.238 , 3.593 ,, 176.0 
 180.0 , 2.792 ,3161,e, 2.242 , 3.590 ,, 176.0 
 179.0 , 2.793 ,3045,e, 2.238 , 3.591 ,, 177.0 
 180.0 , 2.792 ,3128,e, 2.240 , 3.592 ,, 177.0 
 178.0 , 2.794 ,2855,e, 2.234 , 3.591 ,, 178.0 
 177.0 , 2.796 ,2859,e, 2.234 , 3.591 ,, 178.0 
 177.0 , 2.795 ,2912,e, 2.235 , 3.591 ,, 178.0 
 179.0 , 2.794 ,3083,e, 2.236 , 3.595 ,, 178.0 
 178.0 , 2.794 ,2949,e, 2.236 , 3.591 ,, 178.0 
 178.0 , 2.795 ,3087,e, 2.237 , 3.591 ,, 178.0 
 179.0 , 2.794 ,3099,e, 2.237 , 3.592 ,, 178.0 
 180.0 , 2.792 ,3234,e, 2.240 , 3.593 ,, 178.0 
 178.0 , 2.794 ,2911,e, 2.234 , 3.592 ,, 179.0 
 178.0 , 2.794 ,2972,e, 2.235 , 3.591 ,, 179.0 
 177.0 , 2.796 ,2985,e, 2.235 , 3.592 ,, 179.0 
 178.0 , 2.794 ,3012,e, 2.236 , 3.590 ,, 179.0 
 179.0 , 2.792 ,3020,e, 2.236 , 3.590 ,, 179.0 
 179.0 , 2.793 ,3130,e, 2.237 , 3.590 ,, 180.0 
 182.0 , 2.792 ,3982,e, 2.240 , 3.623 ,, 180.0 
 181.0 , 2.793 ,3865,e, 2.238 , 3.613 ,, 182.0 
 182.0 , 2.793 ,4669,e, 2.246 , 3.635 ,, 182.0 
 201.0 , 2.765 ,4562,e, 2.244 , 3.600 ,, 189.0 
 200.0 , 2.766 ,4673,e, 2.239 , 3.599 ,, 194.0 
 204.0 , 2.761 ,4695,e, 2.238 , 3.599 ,, 195.0 
 196.0 , 2.768 ,3381,e, 2.218 , 3.572 ,, 200.0 
 202.0 , 2.761 ,4059,e, 2.225 , 3.575 ,, 202.0 
 204.0 , 2.759 ,4333,e, 2.228 , 3.580 ,, 202.0 
 203.0 , 2.761 ,4162,e, 2.225 , 3.575 ,, 203.0 
 198.0 , 2.766 ,3350,e, 2.213 , 3.572 ,, 204.0 
 204.0 , 2.759 ,4190,e, 2.225 , 3.575 ,, 204.0 
 206.0 , 2.756 ,4083,e, 2.220 , 3.580 ,, 205.0 
 74.3 , 3.038 ,2774,e,,,,
 74.4 , 3.037 ,2875,e,,,,
 74.5 , 3.038 ,2880,e,,,,
 74.6 , 3.037 ,2984,e,,,,
 85.3 , 3.003 ,3286,e,,,,
 75.1 , 3.033 ,2646,e,,,,
 75.4 , 3.033 ,2752,e,,,,
 74.8 , 3.036 ,2880,e,,,,
 74.5 , 3.038 ,2913,e,,,,
 76.1 , 3.030 ,2709,e,,,,
 98.3 , 2.961 ,2894,e,,,,
 98.3 , 2.961 ,2931,e,,,,
 98.8 , 2.961 ,3133,e,,,,
 99.0 , 2.962 ,3353,e,,,,
 99.9 , 2.961 ,3615,e,,,,
 115.0 , 2.920 ,3514,e,,,,
 115.0 , 2.921 ,3846,e,,,,
 117.0 , 2.916 ,3485,e,,,,
 116.0 , 2.917 ,3599,e,,,,
 115.0 , 2.921 ,3602,e,,,,
 117.0 , 2.916 ,3745,e,,,,
 117.0 , 2.916 ,3791,e,,,,
 133.0 , 2.878 ,2837,e,,,,
 132.0 , 2.877 ,2887,e,,,,
 133.0 , 2.877 ,3029,e,,,,
 134.0 , 2.877 ,3165,e,,,,
 136.0 , 2.876 ,3889,e,,,,
 129.0 , 2.887 ,3187,e,,,,
 128.0 , 2.888 ,3319,e,,,,
 129.0 , 2.887 ,3316,e,,,,
 130.0 , 2.886 ,3357,e,,,,
 130.0 , 2.885 ,3470,e,,,,
 130.0 , 2.886 ,3528,e,,,,
