# K2-18b_model2_neptune_like
# Calculated total mass (Me): 8.6323368496
# Calculated total radius (Re): 2.6479532256
# Calculated surface pressure (bar): 0.3016368775
# Calculated surface density (kg m-3): 0.0332371821
# Mass at layer boundaries (Me): 1.2820836947 3.8849437859 8.6305908010 8.6323368496
# Radius at layer boundaries (Re): 0.6978512008 1.2764102967 2.4099686078 2.6479532256
# Pressure at layer boundaries (GPa): 1098.3905876140 352.3406063553 0.0466341277 0.0000301637
# Temperature at layer boundaries (K): 8000.0000000000 8000.0000000000 1801.1224160149 255.5069202060
# M (kg)	R (m)	P (Pa)	rho (kg m-3)	T (K)	layer
2.5822677160e+17	1.3810000000e+04	2.4089854984e+12	23662.6168443885	8000.0000000000	core
2.6389777611e+17	1.3910000000e+04	2.4089852846e+12	23662.6162073979	8000.0000000000	core
2.6965120678e+17	1.4010000000e+04	2.4089850692e+12	23662.6155657100	8000.0000000000	core
2.7548765830e+17	1.4110000000e+04	2.4089848522e+12	23662.6149193249	8000.0000000000	core
2.8140772538e+17	1.4210000000e+04	2.4089846337e+12	23662.6142682424	8000.0000000000	core
2.8741200272e+17	1.4310000000e+04	2.4089844136e+12	23662.6136124627	8000.0000000000	core
2.9350108501e+17	1.4410000000e+04	2.4089841919e+12	23662.6129519856	8000.0000000000	core
2.9967556697e+17	1.4510000000e+04	2.4089839687e+12	23662.6122868113	8000.0000000000	core
3.0593604328e+17	1.4610000000e+04	2.4089837439e+12	23662.6116169396	8000.0000000000	core
3.1228310866e+17	1.4710000000e+04	2.4089835175e+12	23662.6109423707	8000.0000000000	core
3.1871735779e+17	1.4810000000e+04	2.4089832896e+12	23662.6102631044	8000.0000000000	core
3.2523938538e+17	1.4910000000e+04	2.4089830601e+12	23662.6095791409	8000.0000000000	core
3.3184978613e+17	1.5010000000e+04	2.4089828290e+12	23662.6088904800	8000.0000000000	core
3.3854915474e+17	1.5110000000e+04	2.4089825964e+12	23662.6081971219	8000.0000000000	core
3.4533808591e+17	1.5210000000e+04	2.4089823622e+12	23662.6074990664	8000.0000000000	core
3.5221717434e+17	1.5310000000e+04	2.4089821265e+12	23662.6067963136	8000.0000000000	core
3.5918701472e+17	1.5410000000e+04	2.4089818892e+12	23662.6060888636	8000.0000000000	core
3.6624820176e+17	1.5510000000e+04	2.4089816503e+12	23662.6053767162	8000.0000000000	core
3.7340133016e+17	1.5610000000e+04	2.4089814098e+12	23662.6046598715	8000.0000000000	core
3.8064699461e+17	1.5710000000e+04	2.4089811678e+12	23662.6039383295	8000.0000000000	core
3.8798578982e+17	1.5810000000e+04	2.4089809243e+12	23662.6032120902	8000.0000000000	core
3.9541831048e+17	1.5910000000e+04	2.4089806791e+12	23662.6024811536	8000.0000000000	core
4.0294515130e+17	1.6010000000e+04	2.4089804324e+12	23662.6017455197	8000.0000000000	core
4.1056690696e+17	1.6110000000e+04	2.4089801841e+12	23662.6010051884	8000.0000000000	core
4.1828417218e+17	1.6210000000e+04	2.4089799343e+12	23662.6002601599	8000.0000000000	core
4.2609754164e+17	1.6310000000e+04	2.4089796829e+12	23662.5995104340	8000.0000000000	core
4.3400761005e+17	1.6410000000e+04	2.4089794299e+12	23662.5987560109	8000.0000000000	core
4.4201497210e+17	1.6510000000e+04	2.4089791754e+12	23662.5979968904	8000.0000000000	core
4.5012022250e+17	1.6610000000e+04	2.4089789193e+12	23662.5972330726	8000.0000000000	core
