# K2-18b_model1_iron_rich
# Calculated total mass (Me): 8.6193375368
# Calculated total radius (Re): 2.7538235756
# Calculated surface pressure (bar): 0.2905034707
# Calculated surface density (kg m-3): 0.0318781628
# Mass at layer boundaries (Me): 8.1757340235 8.2015364023 8.6193375368
# Radius at layer boundaries (Re): 1.3100941767 1.3229022132 2.7538235756
# Pressure at layer boundaries (GPa): 60.4444635523 52.3612978474 0.0000290503
# Temperature at layer boundaries (K): 5500.0000000000 5357.7978980194 256.6242775265
# M (kg)	R (m)	P (Pa)	rho (kg m-3)	T (K)	layer
5.0097139725e+25	1.0810210000e+07	1.5312994441e+10	294.4600150707	4711.8754350152	H/He
5.0097182967e+25	1.0810310000e+07	1.5312151928e+10	294.4513679623	4711.8491509966	H/He
5.0097226209e+25	1.0810410000e+07	1.5311309454e+10	294.4427212639	4711.8228669486	H/He
5.0097269450e+25	1.0810510000e+07	1.5310467020e+10	294.4340749753	4711.7965828712	H/He
5.0097312690e+25	1.0810610000e+07	1.5309624626e+10	294.4254290967	4711.7702987643	H/He
5.0097355930e+25	1.0810710000e+07	1.5308782271e+10	294.4167836280	4711.7440146280	H/He
5.0097399170e+25	1.0810810000e+07	1.5307939956e+10	294.4081385691	4711.7177304622	H/He
5.0097442409e+25	1.0810910000e+07	1.5307097680e+10	294.3994939201	4711.6914462669	H/He
5.0097485647e+25	1.0811010000e+07	1.5306255444e+10	294.3908496809	4711.6651620420	H/He
5.0097528885e+25	1.0811110000e+07	1.5305413248e+10	294.3822058514	4711.6388777876	H/He
5.0097572123e+25	1.0811210000e+07	1.5304571091e+10	294.3735624318	4711.6125935037	H/He
5.0097615360e+25	1.0811310000e+07	1.5303728973e+10	294.3649194218	4711.5863091901	H/He
5.0097658597e+25	1.0811410000e+07	1.5302886896e+10	294.3562768216	4711.5600248470	H/He
5.0097701833e+25	1.0811510000e+07	1.5302044858e+10	294.3476346311	4711.5337404742	H/He
5.0097745069e+25	1.0811610000e+07	1.5301202859e+10	294.3389928502	4711.5074560718	H/He
5.0097788304e+25	1.0811710000e+07	1.5300360900e+10	294.3303514789	4711.4811716398	H/He
5.0097831539e+25	1.0811810000e+07	1.5299518980e+10	294.3217105173	4711.4548871780	H/He
5.0097874773e+25	1.0811910000e+07	1.5298677101e+10	294.3130699653	4711.4286026866	H/He
5.0097918007e+25	1.0812010000e+07	1.5297835260e+10	294.3044298228	4711.4023181654	H/He
5.0097961241e+25	1.0812110000e+07	1.5296993459e+10	294.2957900899	4711.3760336144	H/He
5.0098004473e+25	1.0812210000e+07	1.5296151698e+10	294.2871507664	4711.3497490337	H/He
5.0098047706e+25	1.0812310000e+07	1.5295309977e+10	294.2785118525	4711.3234644232	H/He
5.0098090938e+25	1.0812410000e+07	1.5294468294e+10	294.2698733480	4711.2971797829	H/He
5.0098134170e+25	1.0812510000e+07	1.5293626652e+10	294.2612352530	4711.2708951128	H/He
5.0098177401e+25	1.0812610000e+07	1.5292785049e+10	294.2525975674	4711.2446104129	H/He
5.0098220631e+25	1.0812710000e+07	1.5291943485e+10	294.2439602911	4711.2183256830	H/He
5.0098263861e+25	1.0812810000e+07	1.5291101961e+10	294.2353234242	4711.1920409233	H/He
5.0098307091e+25	1.0812910000e+07	1.5290260477e+10	294.2266869667	4711.1657561336	H/He
5.0098350320e+25	1.0813010000e+07	1.5289419032e+10	294.2180509185	4711.1394713141	H/He
5.0098393549e+25	1.0813110000e+07	1.5288577627e+10	294.2094152795	4711.1131864646	H/He
5.0098436777e+25	1.0813210000e+07	1.5287736261e+10	294.2007800499	4711.0869015851	H/He
5.0098480005e+25	1.0813310000e+07	1.5286894935e+10	294.1921452294	4711.0606166756	H/He
5.0098523232e+25	1.0813410000e+07	1.5286053648e+10	294.1835108182	4711.0343317361	H/He
5.0098566459e+25	1.0813510000e+07	1.5285212401e+10	294.1748768162	4711.0080467666	H/He
5.0098609685e+25	1.0813610000e+07	1.5284371193e+10	294.1662432233	4710.9817617670	H/He
5.0098652911e+25	1.0813710000e+07	1.5283530025e+10	294.1576100396	4710.9554767374	H/He
5.0098696137e+25	1.0813810000e+07	1.5282688896e+10	294.1489772649	4710.9291916776	H/He
5.0098739362e+25	1.0813910000e+07	1.5281847807e+10	294.1403448994	4710.9029065878	H/He
5.0098782586e+25	1.0814010000e+07	1.5281006758e+10	294.1317129429	4710.8766214678	H/He
5.0098825810e+25	1.0814110000e+07	1.5280165748e+10	294.1230813955	4710.8503363177	H/He
5.0098869034e+25	1.0814210000e+07	1.5279324777e+10	294.1144502571	4710.8240511374	H/He
5.0098912257e+25	1.0814310000e+07	1.5278483846e+10	294.1058195277	4710.7977659269	H/He
5.0098955480e+25	1.0814410000e+07	1.5277642954e+10	294.0971892072	4710.7714806861	H/He
5.0098998702e+25	1.0814510000e+07	1.5276802102e+10	294.0885592957	4710.7451954152	H/He
5.0099041923e+25	1.0814610000e+07	1.5275961290e+10	294.0799297931	4710.7189101140	H/He
5.0099085145e+25	1.0814710000e+07	1.5275120516e+10	294.0713006993	4710.6926247825	H/He
5.0099128365e+25	1.0814810000e+07	1.5274279783e+10	294.0626720145	4710.6663394207	H/He
5.0099171586e+25	1.0814910000e+07	1.5273439089e+10	294.0540437385	4710.6400540286	H/He
5.0099214805e+25	1.0815010000e+07	1.5272598434e+10	294.0454158713	4710.6137686062	H/He
5.0099258025e+25	1.0815110000e+07	1.5271757819e+10	294.0367884129	4710.5874831534	H/He
5.0099301244e+25	1.0815210000e+07	1.5270917243e+10	294.0281613632	4710.5611976702	H/He
5.0099344462e+25	1.0815310000e+07	1.5270076707e+10	294.0195347223	4710.5349121567	H/He
5.0099387680e+25	1.0815410000e+07	1.5269236210e+10	294.0109084901	4710.5086266127	H/He
5.0099430897e+25	1.0815510000e+07	1.5268395753e+10	294.0022826666	4710.4823410383	H/He
5.0099474114e+25	1.0815610000e+07	1.5267555336e+10	293.9936572518	4710.4560554334	H/He
5.0099517331e+25	1.0815710000e+07	1.5266714957e+10	293.9850322456	4710.4297697980	H/He
5.0099560547e+25	1.0815810000e+07	1.5265874618e+10	293.9764076480	4710.4034841322	H/He
