# K2-18b_model3_water_world
# Calculated total mass (Me): 8.6331802325
# Calculated total radius (Re): 2.6808679956
# Calculated surface pressure (bar): 0.6042639129
# Calculated surface density (kg m-3): 0.0667140091
# Mass at layer boundaries (Me): 0.2849123666 0.8633402757 8.6326627612 8.6331802325
# Radius at layer boundaries (Re): 0.4479375294 0.7869894836 2.5884649192 2.6808679956
# Pressure at layer boundaries (GPa): 699.4086478342 467.4492765930 0.0110593749 0.0000604264
# Temperature at layer boundaries (K): 5500.0000000000 5500.0000000000 721.0374590093 254.9000000000
# M (kg)	R (m)	P (Pa)	rho (kg m-3)	T (K)	layer
2.1570096419e+25	1.0446110000e+07	1.9127050706e+11	3385.8237513010	4183.4475736071	water
2.1570560702e+25	1.0446210000e+07	1.9126604009e+11	3385.7980281668	4183.4216374056	water
2.1571024991e+25	1.0446310000e+07	1.9126157314e+11	3385.7723051813	4183.3957011088	water
2.1571489286e+25	1.0446410000e+07	1.9125710622e+11	3385.7465823445	4183.3697647167	water
2.1571953586e+25	1.0446510000e+07	1.9125263932e+11	3385.7208596564	4183.3438282292	water
2.1572417891e+25	1.0446610000e+07	1.9124817245e+11	3385.6951371169	4183.3178916465	water
2.1572882201e+25	1.0446710000e+07	1.9124370559e+11	3385.6694147262	4183.2919549684	water
2.1573346517e+25	1.0446810000e+07	1.9123923876e+11	3385.6436924842	4183.2660181949	water
2.1573810838e+25	1.0446910000e+07	1.9123477196e+11	3385.6179703908	4183.2400813262	water
2.1574275165e+25	1.0447010000e+07	1.9123030517e+11	3385.5922484462	4183.2141443620	water
2.1574739497e+25	1.0447110000e+07	1.9122583842e+11	3385.5665266502	4183.1882073025	water
2.1575203834e+25	1.0447210000e+07	1.9122137168e+11	3385.5408050030	4183.1622701477	water
2.1575668177e+25	1.0447310000e+07	1.9121690497e+11	3385.5150835044	4183.1363328974	water
2.1576132525e+25	1.0447410000e+07	1.9121243828e+11	3385.4893621545	4183.1103955518	water
2.1576596878e+25	1.0447510000e+07	1.9120797161e+11	3385.4636409534	4183.0844581108	water
2.1577061237e+25	1.0447610000e+07	1.9120350497e+11	3385.4379199009	4183.0585205744	water
2.1577525601e+25	1.0447710000e+07	1.9119903835e+11	3385.4121989972	4183.0325829427	water
2.1577989970e+25	1.0447810000e+07	1.9119457175e+11	3385.3864782422	4183.0066452155	water
2.1578454345e+25	1.0447910000e+07	1.9119010518e+11	3385.3607576358	4182.9807073928	water
2.1578918725e+25	1.0448010000e+07	1.9118563863e+11	3385.3350371782	4182.9547694748	water
2.1579383111e+25	1.0448110000e+07	1.9118117210e+11	3385.3093168693	4182.9288314614	water
2.1579847502e+25	1.0448210000e+07	1.9117670560e+11	3385.2835967090	4182.9028933525	water
2.1580311898e+25	1.0448310000e+07	1.9117223912e+11	3385.2578766975	4182.8769551481	water
2.1580776299e+25	1.0448410000e+07	1.9116777266e+11	3385.2321568347	4182.8510168483	water
2.1581240706e+25	1.0448510000e+07	1.9116330623e+11	3385.2064371207	4182.8250784531	water
2.1581705119e+25	1.0448610000e+07	1.9115883982e+11	3385.1807175553	4182.7991399624	water
2.1582169536e+25	1.0448710000e+07	1.9115437343e+11	3385.1549981386	4182.7732013762	water
2.1582633959e+25	1.0448810000e+07	1.9114990707e+11	3385.1292788707	4182.7472626946	water
2.1583098388e+25	1.0448910000e+07	1.9114544073e+11	3385.1035597515	4182.7213239174	water
2.1583562822e+25	1.0449010000e+07	1.9114097441e+11	3385.0778407810	4182.6953850448	water
2.1584027261e+25	1.0449110000e+07	1.9113650812e+11	3385.0521219592	4182.6694460767	water
2.1584491705e+25	1.0449210000e+07	1.9113204185e+11	3385.0264032861	4182.6435070131	water
2.1584956155e+25	1.0449310000e+07	1.9112757561e+11	3385.0006847617	4182.6175678539	water
2.1585420610e+25	1.0449410000e+07	1.9112310938e+11	3384.9749663861	4182.5916285993	water
2.1585885071e+25	1.0449510000e+07	1.9111864318e+11	3384.9492481592	4182.5656892491	water
2.1586349537e+25	1.0449610000e+07	1.9111417701e+11	3384.9235300810	4182.5397498034	water
2.1586814008e+25	1.0449710000e+07	1.9110971085e+11	3384.8978121516	4182.5138102622	water
2.1587278485e+25	1.0449810000e+07	1.9110524472e+11	3384.8720943708	4182.4878706254	water
2.1587742967e+25	1.0449910000e+07	1.9110077862e+11	3384.8463767388	4182.4619308930	water
2.1588207454e+25	1.0450010000e+07	1.9109631253e+11	3384.8206592555	4182.4359910651	water
2.1588671947e+25	1.0450110000e+07	1.9109184647e+11	3384.7949419210	4182.4100511417	water
2.1589136445e+25	1.0450210000e+07	1.9108738044e+11	3384.7692247351	4182.3841111226	water
2.1589600949e+25	1.0450310000e+07	1.9108291442e+11	3384.7435076981	4182.3581710080	water
2.1590065457e+25	1.0450410000e+07	1.9107844843e+11	3384.7177908097	4182.3322307978	water
2.1590529972e+25	1.0450510000e+07	1.9107398246e+11	3384.6920740701	4182.3062904920	water
2.1590994491e+25	1.0450610000e+07	1.9106951652e+11	3384.6663574792	4182.2803500906	water
2.1591459016e+25	1.0450710000e+07	1.9106505060e+11	3384.6406410370	4182.2544095936	water
2.1591923546e+25	1.0450810000e+07	1.9106058470e+11	3384.6149247436	4182.2284690010	water
2.1592388082e+25	1.0450910000e+07	1.9105611883e+11	3384.5892085989	4182.2025283128	water
2.1592852623e+25	1.0451010000e+07	1.9105165298e+11	3384.5634926029	4182.1765875289	water
2.1593317169e+25	1.0451110000e+07	1.9104718715e+11	3384.5377767557	4182.1506466494	water
2.1593781721e+25	1.0451210000e+07	1.9104272135e+11	3384.5120610572	4182.1247056743	water
2.1594246278e+25	1.0451310000e+07	1.9103825557e+11	3384.4863455075	4182.0987646035	water
2.1594710841e+25	1.0451410000e+07	1.9103378981e+11	3384.4606301065	4182.0728234370	water
2.1595175408e+25	1.0451510000e+07	1.9102932408e+11	3384.4349148542	4182.0468821749	water
2.1595639982e+25	1.0451610000e+07	1.9102485837e+11	3384.4091997507	4182.0209408172	water
2.1596104560e+25	1.0451710000e+07	1.9102039268e+11	3384.3834847959	4181.9949993637	water
2.1596569144e+25	1.0451810000e+07	1.9101592702e+11	3384.3577699899	4181.9690578146	water
2.1597033733e+25	1.0451910000e+07	1.9101146138e+11	3384.3320553327	4181.9431161698	water
2.1597498328e+25	1.0452010000e+07	1.9100699576e+11	3384.3063408241	4181.9171744293	water
2.1597962928e+25	1.0452110000e+07	1.9100253017e+11	3384.2806264643	4181.8912325930	water
2.1598427533e+25	1.0452210000e+07	1.9099806460e+11	3384.2549122533	4181.8652906611	water
2.1598892144e+25	1.0452310000e+07	1.9099359905e+11	3384.2291981910	4181.8393486334	water
2.1599356760e+25	1.0452410000e+07	1.9098913353e+11	3384.2034842775	4181.8134065101	water
2.1599821381e+25	1.0452510000e+07	1.9098466803e+11	3384.1777705127	4181.7874642910	water
2.1600286008e+25	1.0452610000e+07	1.9098020255e+11	3384.1520568967	4181.7615219761	water
2.1600750640e+25	1.0452710000e+07	1.9097573709e+11	3384.1263434295	4181.7355795655	water
2.1601215278e+25	1.0452810000e+07	1.9097127166e+11	3384.1006301110	4181.7096370592	water
2.1601679920e+25	1.0452910000e+07	1.9096680626e+11	3384.0749169412	4181.6836944571	water
2.1602144569e+25	1.0453010000e+07	1.9096234087e+11	3384.0492039202	4181.6577517592	water
2.1602609222e+25	1.0453110000e+07	1.9095787551e+11	3384.0234910480	4181.6318089656	water
2.1603073881e+25	1.0453210000e+07	1.9095341018e+11	3383.9977783245	4181.6058660762	water
2.1603538545e+25	1.0453310000e+07	1.9094894486e+11	3383.9720657498	4181.5799230910	water
2.1604003215e+25	1.0453410000e+07	1.9094447957e+11	3383.9463533238	4181.5539800100	water
2.1604467890e+25	1.0453510000e+07	1.9094001430e+11	3383.9206410467	4181.5280368332	water
2.1604932570e+25	1.0453610000e+07	1.9093554906e+11	3383.8949289182	4181.5020935606	water
2.1605397256e+25	1.0453710000e+07	1.9093108384e+11	3383.8692169386	4181.4761501922	water
2.1605861947e+25	1.0453810000e+07	1.9092661864e+11	3383.8435051077	4181.4502067280	water
2.1606326644e+25	1.0453910000e+07	1.9092215347e+11	3383.8177934256	4181.4242631679	water
2.1606791345e+25	1.0454010000e+07	1.9091768832e+11	3383.7920818922	4181.3983195120	water
2.1607256052e+25	1.0454110000e+07	1.9091322319e+11	3383.7663705076	4181.3723757603	water
2.1607720765e+25	1.0454210000e+07	1.9090875809e+11	3383.7406592718	4181.3464319127	water
2.1608185483e+25	1.0454310000e+07	1.9090429301e+11	3383.7149481847	4181.3204879693	water
2.1608650206e+25	1.0454410000e+07	1.9089982795e+11	3383.6892372465	4181.2945439300	water
2.1609114935e+25	1.0454510000e+07	1.9089536291e+11	3383.6635264570	4181.2685997948	water
2.1609579669e+25	1.0454610000e+07	1.9089089790e+11	3383.6378158162	4181.2426555637	water
2.1610044408e+25	1.0454710000e+07	1.9088643292e+11	3383.6121053243	4181.2167112368	water
2.1610509153e+25	1.0454810000e+07	1.9088196795e+11	3383.5863949811	4181.1907668140	water
2.1610973903e+25	1.0454910000e+07	1.9087750301e+11	3383.5606847867	4181.1648222953	water
2.1611438658e+25	1.0455010000e+07	1.9087303809e+11	3383.5349747411	4181.1388776806	water
2.1611903419e+25	1.0455110000e+07	1.9086857320e+11	3383.5092648443	4181.1129329701	water
2.1612368185e+25	1.0455210000e+07	1.9086410833e+11	3383.4835550962	4181.0869881637	water
2.1612832956e+25	1.0455310000e+07	1.9085964348e+11	3383.4578454969	4181.0610432613	water
2.1613297733e+25	1.0455410000e+07	1.9085517866e+11	3383.4321360464	4181.0350982630	water
2.1613762515e+25	1.0455510000e+07	1.9085071386e+11	3383.4064267447	4181.0091531688	water
2.1614227303e+25	1.0455610000e+07	1.9084624908e+11	3383.3807175918	4180.9832079786	water
2.1614692096e+25	1.0455710000e+07	1.9084178432e+11	3383.3550085877	4180.9572626924	water
2.1615156894e+25	1.0455810000e+07	1.9083731959e+11	3383.3292997323	4180.9313173103	water
2.1615621698e+25	1.0455910000e+07	1.9083285489e+11	3383.3035910257	4180.9053718323	water
2.1616086507e+25	1.0456010000e+07	1.9082839020e+11	3383.2778824680	4180.8794262582	water
2.1616551321e+25	1.0456110000e+07	1.9082392554e+11	3383.2521740590	4180.8534805882	water
2.1617016141e+25	1.0456210000e+07	1.9081946090e+11	3383.2264657988	4180.8275348222	water
2.1617480966e+25	1.0456310000e+07	1.9081499629e+11	3383.2007576874	4180.8015889602	water
2.1617945796e+25	1.0456410000e+07	1.9081053170e+11	3383.1750497248	4180.7756430022	water
2.1618410632e+25	1.0456510000e+07	1.9080606713e+11	3383.1493419109	4180.7496969482	water
2.1618875473e+25	1.0456610000e+07	1.9080160259e+11	3383.1236342459	4180.7237507982	water
2.1619340319e+25	1.0456710000e+07	1.9079713806e+11	3383.0979267297	4180.6978045522	water
2.1619805171e+25	1.0456810000e+07	1.9079267357e+11	3383.0722193623	4180.6718582101	water
2.1620270029e+25	1.0456910000e+07	1.9078820909e+11	3383.0465121436	4180.6459117720	water
2.1620734891e+25	1.0457010000e+07	1.9078374464e+11	3383.0208050738	4180.6199652379	water
2.1621199759e+25	1.0457110000e+07	1.9077928021e+11	3382.9950981528	4180.5940186077	water
2.1621664632e+25	1.0457210000e+07	1.9077481581e+11	3382.9693913805	4180.5680718814	water
2.1622129511e+25	1.0457310000e+07	1.9077035143e+11	3382.9436847571	4180.5421250591	water
2.1622594395e+25	1.0457410000e+07	1.9076588707e+11	3382.9179782825	4180.5161781408	water
2.1623059284e+25	1.0457510000e+07	1.9076142274e+11	3382.8922719567	4180.4902311263	water
2.1623524179e+25	1.0457610000e+07	1.9075695842e+11	3382.8665657796	4180.4642840158	water
2.1623989079e+25	1.0457710000e+07	1.9075249414e+11	3382.8408597514	4180.4383368091	water
2.1624453985e+25	1.0457810000e+07	1.9074802987e+11	3382.8151538720	4180.4123895064	water
2.1624918895e+25	1.0457910000e+07	1.9074356563e+11	3382.7894481414	4180.3864421076	water
2.1625383811e+25	1.0458010000e+07	1.9073910141e+11	3382.7637425596	4180.3604946127	water
2.1625848733e+25	1.0458110000e+07	1.9073463722e+11	3382.7380371267	4180.3345470216	water
2.1626313660e+25	1.0458210000e+07	1.9073017305e+11	3382.7123318425	4180.3085993344	water
2.1626778592e+25	1.0458310000e+07	1.9072570890e+11	3382.6866267072	4180.2826515511	water
2.1627243530e+25	1.0458410000e+07	1.9072124478e+11	3382.6609217206	4180.2567036717	water
2.1627708473e+25	1.0458510000e+07	1.9071678067e+11	3382.6352168829	4180.2307556961	water
2.1628173421e+25	1.0458610000e+07	1.9071231660e+11	3382.6095121940	4180.2048076243	water
2.1628638375e+25	1.0458710000e+07	1.9070785254e+11	3382.5838076539	4180.1788594564	water
2.1629103334e+25	1.0458810000e+07	1.9070338851e+11	3382.5581032626	4180.1529111923	water
2.1629568298e+25	1.0458910000e+07	1.9069892450e+11	3382.5323990202	4180.1269628321	water
2.1630033268e+25	1.0459010000e+07	1.9069446052e+11	3382.5066949265	4180.1010143756	water
2.1630498243e+25	1.0459110000e+07	1.9068999656e+11	3382.4809909817	4180.0750658230	water
2.1630963223e+25	1.0459210000e+07	1.9068553262e+11	3382.4552871857	4180.0491171742	water
2.1631428209e+25	1.0459310000e+07	1.9068106870e+11	3382.4295835386	4180.0231684292	water
2.1631893200e+25	1.0459410000e+07	1.9067660481e+11	3382.4038800402	4179.9972195880	water
