# Earth_isothermal_iron_silicate_2layer
# Calculated total mass (Me): 1.0000047960
# Calculated total radius (Re): 0.9708381730
# Calculated surface pressure (bar): 45.5529589543
# Calculated surface density (kg m-3): 4000.1724453762
# Mass at layer boundaries (Me): 0.3250247227 1.0000047960
# Radius at layer boundaries (Re): 0.5147559253 0.9708381730
# Pressure at layer boundaries (GPa): 154.6710003733 0.0045552959
# Temperature at layer boundaries (K): 300.0000000000 300.0000000000
# M (kg)	R (m)	P (Pa)	rho (kg m-3)	T (K)	layer
7.9647629497e+16	1.0910000000e+04	4.3808646477e+11	14845.8014542053	300.0000000000	N/A
8.1868192058e+16	1.1010000000e+04	4.3808639846e+11	14845.8009235139	300.0000000000	N/A
8.4129648017e+16	1.1110000000e+04	4.3808633154e+11	14845.8003878445	300.0000000000	N/A
8.6432370487e+16	1.1210000000e+04	4.3808626401e+11	14845.7998471973	300.0000000000	N/A
8.8776732578e+16	1.1310000000e+04	4.3808619586e+11	14845.7993015721	300.0000000000	N/A
9.1163107404e+16	1.1410000000e+04	4.3808612709e+11	14845.7987509691	300.0000000000	N/A
9.3591868076e+16	1.1510000000e+04	4.3808605771e+11	14845.7981953882	300.0000000000	N/A
9.6063387705e+16	1.1610000000e+04	4.3808598771e+11	14845.7976348294	300.0000000000	N/A
9.8578039403e+16	1.1710000000e+04	4.3808591709e+11	14845.7970692926	300.0000000000	N/A
1.0113619628e+17	1.1810000000e+04	4.3808584586e+11	14845.7964987780	300.0000000000	N/A
1.0373823145e+17	1.1910000000e+04	4.3808577401e+11	14845.7959232855	300.0000000000	N/A
1.0638451802e+17	1.2010000000e+04	4.3808570155e+11	14845.7953428150	300.0000000000	N/A
1.0907542911e+17	1.2110000000e+04	4.3808562847e+11	14845.7947573667	300.0000000000	N/A
1.1181133782e+17	1.2210000000e+04	4.3808555477e+11	14845.7941669404	300.0000000000	N/A
1.1459261727e+17	1.2310000000e+04	4.3808548046e+11	14845.7935715362	300.0000000000	N/A
1.1741964057e+17	1.2410000000e+04	4.3808540553e+11	14845.7929711541	300.0000000000	N/A
1.2029278082e+17	1.2510000000e+04	4.3808532998e+11	14845.7923657940	300.0000000000	N/A
1.2321241115e+17	1.2610000000e+04	4.3808525382e+11	14845.7917554561	300.0000000000	N/A
1.2617890465e+17	1.2710000000e+04	4.3808517704e+11	14845.7911401402	300.0000000000	N/A
