# Earth_adiabatic_iron_silicate_2layer
# Calculated total mass (Me): 0.9998795466
# Calculated total radius (Re): 0.9868325224
# Calculated surface pressure (bar): 14.0129496395
# Calculated surface density (kg m-3): 3359.5000000000
# Mass at layer boundaries (Me): 0.3250077055 0.9998795466
# Radius at layer boundaries (Re): 0.5154151625 0.9868325224
# Pressure at layer boundaries (GPa): 152.3542098369 0.0014012950
# Temperature at layer boundaries (K): 4231.1583516629 2581.6548129777
# M (kg)	R (m)	P (Pa)	rho (kg m-3)	T (K)	layer
4.5714138098e+20	1.9481000000e+05	4.3294434016e+11	14769.0708863242	5496.0192138395	N/A
4.5784572613e+20	1.9491000000e+05	4.3294315279e+11	14769.0613331568	5496.0151204925	N/A
4.5855079413e+20	1.9501000000e+05	4.3294196480e+11	14769.0517750892	5496.0110250401	N/A
4.5925658533e+20	1.9511000000e+05	4.3294077621e+11	14769.0422121213	5496.0069274823	N/A
4.5996310012e+20	1.9521000000e+05	4.3293958702e+11	14769.0326442533	5496.0028278190	N/A
4.6067033885e+20	1.9531000000e+05	4.3293839721e+11	14769.0230714850	5495.9987260503	N/A
4.6137830190e+20	1.9541000000e+05	4.3293720679e+11	14769.0134938165	5495.9946221762	N/A
4.6208698964e+20	1.9551000000e+05	4.3293601577e+11	14769.0039112479	5495.9905161966	N/A
4.6279640244e+20	1.9561000000e+05	4.3293482413e+11	14768.9943237790	5495.9864081116	N/A
4.6350654068e+20	1.9571000000e+05	4.3293363189e+11	14768.9847314101	5495.9822979212	N/A
4.6421740471e+20	1.9581000000e+05	4.3293243904e+11	14768.9751341410	5495.9781856253	N/A
4.6492899490e+20	1.9591000000e+05	4.3293124558e+11	14768.9655319718	5495.9740712240	N/A
4.6564131164e+20	1.9601000000e+05	4.3293005151e+11	14768.9559249025	5495.9699547172	N/A
4.6635435529e+20	1.9611000000e+05	4.3292885684e+11	14768.9463129331	5495.9658361049	N/A
4.6706812622e+20	1.9621000000e+05	4.3292766155e+11	14768.9366960636	5495.9617153872	N/A
4.6778262480e+20	1.9631000000e+05	4.3292646566e+11	14768.9270742941	5495.9575925640	N/A
4.6849785140e+20	1.9641000000e+05	4.3292526915e+11	14768.9174476245	5495.9534676353	N/A
4.6921380638e+20	1.9651000000e+05	4.3292407204e+11	14768.9078160550	5495.9493406012	N/A
4.6993049013e+20	1.9661000000e+05	4.3292287432e+11	14768.8981795854	5495.9452114616	N/A
4.7064790300e+20	1.9671000000e+05	4.3292167599e+11	14768.8885382158	5495.9410802165	N/A
4.7136604538e+20	1.9681000000e+05	4.3292047705e+11	14768.8788919462	5495.9369468659	N/A
4.7208491762e+20	1.9691000000e+05	4.3291927750e+11	14768.8692407767	5495.9328114098	N/A
4.7280452011e+20	1.9701000000e+05	4.3291807735e+11	14768.8595847072	5495.9286738482	N/A
4.7352485320e+20	1.9711000000e+05	4.3291687658e+11	14768.8499237378	5495.9245341812	N/A
4.7424591727e+20	1.9721000000e+05	4.3291567521e+11	14768.8402578685	5495.9203924086	N/A
4.7496771270e+20	1.9731000000e+05	4.3291447323e+11	14768.8305870993	5495.9162485305	N/A
4.7569023984e+20	1.9741000000e+05	4.3291327064e+11	14768.8209114301	5495.9121025469	N/A
4.7641349907e+20	1.9751000000e+05	4.3291206744e+11	14768.8112308612	5495.9079544578	N/A
4.7713749076e+20	1.9761000000e+05	4.3291086363e+11	14768.8015453923	5495.9038042632	N/A
4.7786221528e+20	1.9771000000e+05	4.3290965922e+11	14768.7918550237	5495.8996519630	N/A
4.7858767300e+20	1.9781000000e+05	4.3290845419e+11	14768.7821597552	5495.8954975573	N/A
4.7931386429e+20	1.9791000000e+05	4.3290724856e+11	14768.7724595868	5495.8913410461	N/A
4.8004078951e+20	1.9801000000e+05	4.3290604232e+11	14768.7627545187	5495.8871824293	N/A
4.8076844905e+20	1.9811000000e+05	4.3290483546e+11	14768.7530445509	5495.8830217070	N/A
4.8149684327e+20	1.9821000000e+05	4.3290362800e+11	14768.7433296832	5495.8788588792	N/A
4.8222597253e+20	1.9831000000e+05	4.3290241994e+11	14768.7336099158	5495.8746939458	N/A
4.8295583721e+20	1.9841000000e+05	4.3290121126e+11	14768.7238852487	5495.8705269069	N/A
4.8368643769e+20	1.9851000000e+05	4.3290000197e+11	14768.7141556819	5495.8663577624	N/A
4.8441777432e+20	1.9861000000e+05	4.3289879208e+11	14768.7044212153	5495.8621865123	N/A
