#P (Pa)	rho (kg/m3)
2.392138577982e+09	2.068013602721e+03
2.410034068863e+09	2.071814362873e+03
2.428027573667e+09	2.075615123025e+03
2.446119423390e+09	2.079415883177e+03
2.464309949355e+09	2.083216643329e+03
2.482599483210e+09	2.087017403481e+03
2.500988356926e+09	2.090818163633e+03
2.519476902797e+09	2.094618923785e+03
2.538065453438e+09	2.098419683937e+03
2.556754341782e+09	2.102220444089e+03
2.575543901084e+09	2.106021204241e+03
2.594434464913e+09	2.109821964393e+03
2.613426367154e+09	2.113622724545e+03
2.632519942009e+09	2.117423484697e+03
2.651715523991e+09	2.121224244849e+03
2.671013447925e+09	2.125025005001e+03
2.690414048948e+09	2.128825765153e+03
2.709917662506e+09	2.132626525305e+03
2.729524624351e+09	2.136427285457e+03
2.749235270544e+09	2.140228045609e+03
2.769049937451e+09	2.144028805761e+03
2.788968961743e+09	2.147829565913e+03
2.808992680392e+09	2.151630326065e+03
2.829121430672e+09	2.155431086217e+03
2.849355550159e+09	2.159231846369e+03
2.869695376727e+09	2.163032606521e+03
2.890141248548e+09	2.166833366673e+03
2.910693504089e+09	2.170634126825e+03
2.931352482114e+09	2.174434886977e+03
2.952118521682e+09	2.178235647129e+03
2.972991962141e+09	2.182036407281e+03
2.993973143133e+09	2.185837167433e+03
3.015062404591e+09	2.189637927586e+03
3.036260086734e+09	2.193438687738e+03
3.057566530070e+09	2.197239447890e+03
3.078982075395e+09	2.201040208042e+03
3.100507063786e+09	2.204840968194e+03
3.122141836608e+09	2.208641728346e+03
3.143886735506e+09	2.212442488498e+03
3.165742102408e+09	2.216243248650e+03
3.187708279519e+09	2.220044008802e+03
3.209785609325e+09	2.223844768954e+03
3.231974434590e+09	2.227645529106e+03
3.254275098353e+09	2.231446289258e+03
3.276687943929e+09	2.235247049410e+03
3.299213314904e+09	2.239047809562e+03
3.321851555139e+09	2.242848569714e+03
3.344603008766e+09	2.246649329866e+03
3.367468020186e+09	2.250450090018e+03
3.390446934069e+09	2.254250850170e+03
3.413540095354e+09	2.258051610322e+03
3.436747849242e+09	2.261852370474e+03
3.460070541204e+09	2.265653130626e+03
3.483508516971e+09	2.269453890778e+03
3.507062122538e+09	2.273254650930e+03
3.530731704162e+09	2.277055411082e+03
3.554517608357e+09	2.280856171234e+03
3.578420181898e+09	2.284656931386e+03
3.602439771819e+09	2.288457691538e+03
3.626576725406e+09	2.292258451690e+03
3.650831390204e+09	2.296059211842e+03
3.675204114008e+09	2.299859971994e+03
3.699695244870e+09	2.303660732146e+03
3.724305131090e+09	2.307461492298e+03
3.749034121219e+09	2.311262252450e+03
3.773882564057e+09	2.315063012603e+03
3.798850808651e+09	2.318863772755e+03
3.823939204295e+09	2.322664532907e+03
3.849148100529e+09	2.326465293059e+03
3.874477847135e+09	2.330266053211e+03
3.899928794139e+09	2.334066813363e+03
3.925501291808e+09	2.337867573515e+03
3.951195690650e+09	2.341668333667e+03
3.977012341411e+09	2.345469093819e+03
4.002951595076e+09	2.349269853971e+03
4.029013802867e+09	2.353070614123e+03
4.055199316238e+09	2.356871374275e+03
4.081508486882e+09	2.360672134427e+03
4.107941666722e+09	2.364472894579e+03
4.134499207914e+09	2.368273654731e+03
4.161181462843e+09	2.372074414883e+03
4.187988784125e+09	2.375875175035e+03
4.214921524605e+09	2.379675935187e+03
4.241980037352e+09	2.383476695339e+03
4.269164675663e+09	2.387277455491e+03
4.296475793060e+09	2.391078215643e+03
4.323913743286e+09	2.394878975795e+03
4.351478880309e+09	2.398679735947e+03
4.379171558315e+09	2.402480496099e+03
4.406992131713e+09	2.406281256251e+03
4.434940955128e+09	2.410082016403e+03
4.463018383404e+09	2.413882776555e+03
