# SiC (zinc-blende structure) EOS from Miozzi et al. (2018)
# Note that the zinc-blende to rock-salt phase transition occurs around 65-70 GPa
# Should switch to rock-salt EOS above that pressure
# Pressure (Pa)	Density (kg/m^3)
2.0527476710e+10	3.4776481293e+03
2.0596313222e+10	3.4784324414e+03
2.0665193680e+10	3.4792167535e+03
2.0734118093e+10	3.4800010656e+03
2.0803086467e+10	3.4807853778e+03
2.0872098812e+10	3.4815696899e+03
2.0941155134e+10	3.4823540020e+03
2.1010255441e+10	3.4831383141e+03
2.1079399742e+10	3.4839226262e+03
2.1148588043e+10	3.4847069384e+03
2.1217820354e+10	3.4854912505e+03
2.1287096680e+10	3.4862755626e+03
2.1356417031e+10	3.4870598747e+03
2.1425781414e+10	3.4878441868e+03
2.1495189836e+10	3.4886284989e+03
2.1564642306e+10	3.4894128111e+03
2.1634138832e+10	3.4901971232e+03
2.1703679420e+10	3.4909814353e+03
2.1773264079e+10	3.4917657474e+03
2.1842892816e+10	3.4925500595e+03
2.1912565640e+10	3.4933343717e+03
2.1982282557e+10	3.4941186838e+03
2.2052043577e+10	3.4949029959e+03
2.2121848706e+10	3.4956873080e+03
2.2191697952e+10	3.4964716201e+03
2.2261591323e+10	3.4972559322e+03
2.2331528827e+10	3.4980402444e+03
2.2401510471e+10	3.4988245565e+03
2.2471536264e+10	3.4996088686e+03
2.2541606213e+10	3.5003931807e+03
2.2611720325e+10	3.5011774928e+03
2.2681878609e+10	3.5019618050e+03
2.2752081072e+10	3.5027461171e+03
2.2822327722e+10	3.5035304292e+03
2.2892618566e+10	3.5043147413e+03
2.2962953613e+10	3.5050990534e+03
2.3033332871e+10	3.5058833655e+03
2.3103756346e+10	3.5066676777e+03
2.3174224046e+10	3.5074519898e+03
2.3244735980e+10	3.5082363019e+03
2.3315292156e+10	3.5090206140e+03
2.3385892580e+10	3.5098049261e+03
2.3456537260e+10	3.5105892383e+03
2.3527226205e+10	3.5113735504e+03
2.3597959422e+10	3.5121578625e+03
2.3668736918e+10	3.5129421746e+03
2.3739558702e+10	3.5137264867e+03
2.3810424781e+10	3.5145107988e+03
2.3881335163e+10	3.5152951110e+03
2.3952289856e+10	3.5160794231e+03
2.4023288867e+10	3.5168637352e+03
2.4094332204e+10	3.5176480473e+03
2.4165419875e+10	3.5184323594e+03
2.4236551887e+10	3.5192166716e+03
2.4307728249e+10	3.5200009837e+03
2.4378948967e+10	3.5207852958e+03
2.4450214051e+10	3.5215696079e+03
2.4521523506e+10	3.5223539200e+03
2.4592877342e+10	3.5231382321e+03
2.4664275565e+10	3.5239225443e+03
2.4735718184e+10	3.5247068564e+03
2.4807205206e+10	3.5254911685e+03
2.4878736639e+10	3.5262754806e+03
2.4950312491e+10	3.5270597927e+03
2.5021932769e+10	3.5278441049e+03
2.5093597481e+10	3.5286284170e+03
2.5165306635e+10	3.5294127291e+03
2.5237060238e+10	3.5301970412e+03
2.5308858299e+10	3.5309813533e+03
2.5380700824e+10	3.5317656654e+03
2.5452587822e+10	3.5325499776e+03
2.5524519300e+10	3.5333342897e+03
2.5596495266e+10	3.5341186018e+03
2.5668515728e+10	3.5349029139e+03
2.5740580693e+10	3.5356872260e+03
2.5812690169e+10	3.5364715382e+03
2.5884844164e+10	3.5372558503e+03
2.5957042685e+10	3.5380401624e+03
2.6029285741e+10	3.5388244745e+03
2.6101573338e+10	3.5396087866e+03
2.6173905485e+10	3.5403930987e+03
2.6246282189e+10	3.5411774109e+03
2.6318703458e+10	3.5419617230e+03
2.6391169299e+10	3.5427460351e+03
2.6463679721e+10	3.5435303472e+03
2.6536234730e+10	3.5443146593e+03
2.6608834336e+10	3.5450989715e+03
2.6681478544e+10	3.5458832836e+03
2.6754167364e+10	3.5466675957e+03
2.6826900802e+10	3.5474519078e+03
2.6899678867e+10	3.5482362199e+03
2.6972501565e+10	3.5490205320e+03
2.7045368905e+10	3.5498048442e+03
2.7118280895e+10	3.5505891563e+03
2.7191237542e+10	3.5513734684e+03
2.7264238853e+10	3.5521577805e+03
2.7337284837e+10	3.5529420926e+03
2.7410375501e+10	3.5537264048e+03
2.7483510853e+10	3.5545107169e+03
2.7556690900e+10	3.5552950290e+03
2.7629915651e+10	3.5560793411e+03
2.7703185112e+10	3.5568636532e+03
2.7776499291e+10	3.5576479653e+03
2.7849858197e+10	3.5584322775e+03
2.7923261836e+10	3.5592165896e+03
2.7996710217e+10	3.5600009017e+03
2.8070203347e+10	3.5607852138e+03
2.8143741234e+10	3.5615695259e+03
2.8217323885e+10	3.5623538381e+03
2.8290951308e+10	3.5631381502e+03
2.8364623511e+10	3.5639224623e+03
2.8438340501e+10	3.5647067744e+03
2.8512102286e+10	3.5654910865e+03
2.8585908875e+10	3.5662753986e+03
2.8659760273e+10	3.5670597108e+03
2.8733656489e+10	3.5678440229e+03
2.8807597532e+10	3.5686283350e+03
2.8881583407e+10	3.5694126471e+03
2.8955614124e+10	3.5701969592e+03
2.9029689689e+10	3.5709812714e+03
2.9103810110e+10	3.5717655835e+03
2.9177975395e+10	3.5725498956e+03
2.9252185552e+10	3.5733342077e+03
2.9326440588e+10	3.5741185198e+03
2.9400740511e+10	3.5749028319e+03
2.9475085329e+10	3.5756871441e+03
2.9549475049e+10	3.5764714562e+03
2.9623909678e+10	3.5772557683e+03
2.9698389225e+10	3.5780400804e+03
2.9772913697e+10	3.5788243925e+03
2.9847483102e+10	3.5796087047e+03
2.9922097447e+10	3.5803930168e+03
2.9996756740e+10	3.5811773289e+03
3.0071460988e+10	3.5819616410e+03
3.0146210200e+10	3.5827459531e+03
3.0221004383e+10	3.5835302652e+03
3.0295843545e+10	3.5843145774e+03
3.0370727692e+10	3.5850988895e+03
3.0445656834e+10	3.5858832016e+03
3.0520630977e+10	3.5866675137e+03
3.0595650128e+10	3.5874518258e+03
3.0670714297e+10	3.5882361380e+03
3.0745823490e+10	3.5890204501e+03
3.0820977715e+10	3.5898047622e+03
3.0896176979e+10	3.5905890743e+03
3.0971421291e+10	3.5913733864e+03
3.1046710657e+10	3.5921576985e+03
3.1122045086e+10	3.5929420107e+03
3.1197424585e+10	3.5937263228e+03
3.1272849162e+10	3.5945106349e+03
3.1348318823e+10	3.5952949470e+03
3.1423833578e+10	3.5960792591e+03
3.1499393434e+10	3.5968635713e+03
3.1574998397e+10	3.5976478834e+03
3.1650648476e+10	3.5984321955e+03
3.1726343679e+10	3.5992165076e+03
3.1802084013e+10	3.6000008197e+03
3.1877869485e+10	3.6007851318e+03
3.1953700103e+10	3.6015694440e+03
3.2029575876e+10	3.6023537561e+03
3.2105496809e+10	3.6031380682e+03
3.2181462912e+10	3.6039223803e+03
3.2257474192e+10	3.6047066924e+03
3.2333530655e+10	3.6054910046e+03
3.2409632311e+10	3.6062753167e+03
3.2485779166e+10	3.6070596288e+03
3.2561971228e+10	3.6078439409e+03
3.2638208505e+10	3.6086282530e+03
3.2714491004e+10	3.6094125651e+03
3.2790818733e+10	3.6101968773e+03
3.2867191699e+10	3.6109811894e+03
3.2943609911e+10	3.6117655015e+03
3.3020073375e+10	3.6125498136e+03
3.3096582099e+10	3.6133341257e+03
3.3173136092e+10	3.6141184379e+03
3.3249735360e+10	3.6149027500e+03
3.3326379910e+10	3.6156870621e+03
3.3403069752e+10	3.6164713742e+03
3.3479804892e+10	3.6172556863e+03
3.3556585337e+10	3.6180399984e+03
3.3633411096e+10	3.6188243106e+03
3.3710282176e+10	3.6196086227e+03
3.3787198585e+10	3.6203929348e+03
3.3864160329e+10	3.6211772469e+03
3.3941167418e+10	3.6219615590e+03
3.4018219858e+10	3.6227458712e+03
3.4095317657e+10	3.6235301833e+03
3.4172460822e+10	3.6243144954e+03
3.4249649361e+10	3.6250988075e+03
3.4326883282e+10	3.6258831196e+03
3.4404162593e+10	3.6266674317e+03
3.4481487300e+10	3.6274517439e+03
3.4558857412e+10	3.6282360560e+03
3.4636272935e+10	3.6290203681e+03
3.4713733878e+10	3.6298046802e+03
3.4791240249e+10	3.6305889923e+03
3.4868792054e+10	3.6313733045e+03
3.4946389301e+10	3.6321576166e+03
3.5024031998e+10	3.6329419287e+03
3.5101720153e+10	3.6337262408e+03
3.5179453773e+10	3.6345105529e+03
3.5257232865e+10	3.6352948650e+03
3.5335057437e+10	3.6360791772e+03
3.5412927497e+10	3.6368634893e+03
3.5490843053e+10	3.6376478014e+03
3.5568804111e+10	3.6384321135e+03
3.5646810679e+10	3.6392164256e+03
3.5724862766e+10	3.6400007378e+03
3.5802960378e+10	3.6407850499e+03
3.5881103523e+10	3.6415693620e+03
3.5959292209e+10	3.6423536741e+03
3.6037526443e+10	3.6431379862e+03
3.6115806233e+10	3.6439222983e+03
3.6194131586e+10	3.6447066105e+03
3.6272502510e+10	3.6454909226e+03
3.6350919012e+10	3.6462752347e+03
3.6429381101e+10	3.6470595468e+03
3.6507888783e+10	3.6478438589e+03
3.6586442066e+10	3.6486281711e+03
3.6665040957e+10	3.6494124832e+03
3.6743685465e+10	3.6501967953e+03
3.6822375597e+10	3.6509811074e+03
3.6901111360e+10	3.6517654195e+03
3.6979892762e+10	3.6525497316e+03
3.7058719810e+10	3.6533340438e+03
3.7137592512e+10	3.6541183559e+03
3.7216510876e+10	3.6549026680e+03
3.7295474908e+10	3.6556869801e+03
3.7374484617e+10	3.6564712922e+03
3.7453540011e+10	3.6572556044e+03
3.7532641096e+10	3.6580399165e+03
3.7611787880e+10	3.6588242286e+03
3.7690980371e+10	3.6596085407e+03
3.7770218576e+10	3.6603928528e+03
3.7849502503e+10	3.6611771649e+03
3.7928832159e+10	3.6619614771e+03
3.8008207552e+10	3.6627457892e+03
3.8087628690e+10	3.6635301013e+03
3.8167095579e+10	3.6643144134e+03
