# Diamond EOS from Swift et al. (2022), using a modified Vinet form
# Pressure (Pa)	Density (kg/m^3)
2.4283457669e+11	4.8419209605e+03
2.4368426972e+11	4.8454227114e+03
2.4453505681e+11	4.8489244622e+03
2.4538693782e+11	4.8524262131e+03
2.4623991262e+11	4.8559279640e+03
2.4709398107e+11	4.8594297149e+03
2.4794914304e+11	4.8629314657e+03
2.4880539838e+11	4.8664332166e+03
2.4966274697e+11	4.8699349675e+03
2.5052118865e+11	4.8734367184e+03
2.5138072331e+11	4.8769384692e+03
2.5224135080e+11	4.8804402201e+03
2.5310307098e+11	4.8839419710e+03
2.5396588371e+11	4.8874437219e+03
2.5482978886e+11	4.8909454727e+03
2.5569478630e+11	4.8944472236e+03
2.5656087587e+11	4.8979489745e+03
2.5742805745e+11	4.9014507254e+03
2.5829633089e+11	4.9049524762e+03
2.5916569606e+11	4.9084542271e+03
2.6003615281e+11	4.9119559780e+03
2.6090770102e+11	4.9154577289e+03
2.6178034053e+11	4.9189594797e+03
2.6265407122e+11	4.9224612306e+03
2.6352889293e+11	4.9259629815e+03
2.6440480554e+11	4.9294647324e+03
2.6528180890e+11	4.9329664832e+03
2.6615990287e+11	4.9364682341e+03
2.6703908731e+11	4.9399699850e+03
2.6791936208e+11	4.9434717359e+03
2.6880072705e+11	4.9469734867e+03
2.6968318207e+11	4.9504752376e+03
2.7056672699e+11	4.9539769885e+03
2.7145136169e+11	4.9574787394e+03
2.7233708601e+11	4.9609804902e+03
2.7322389982e+11	4.9644822411e+03
2.7411180298e+11	4.9679839920e+03
2.7500079534e+11	4.9714857429e+03
2.7589087676e+11	4.9749874937e+03
2.7678204710e+11	4.9784892446e+03
2.7767430622e+11	4.9819909955e+03
2.7856765399e+11	4.9854927464e+03
2.7946209024e+11	4.9889944972e+03
2.8035761485e+11	4.9924962481e+03
2.8125422767e+11	4.9959979990e+03
2.8215192855e+11	4.9994997499e+03
2.8305071736e+11	5.0030015008e+03
2.8395059395e+11	5.0065032516e+03
2.8485155818e+11	5.0100050025e+03
2.8575360991e+11	5.0135067534e+03
2.8665674899e+11	5.0170085043e+03
2.8756097527e+11	5.0205102551e+03
2.8846628863e+11	5.0240120060e+03
2.8937268890e+11	5.0275137569e+03
2.9028017595e+11	5.0310155078e+03
2.9118874963e+11	5.0345172586e+03
2.9209840981e+11	5.0380190095e+03
2.9300915633e+11	5.0415207604e+03
2.9392098905e+11	5.0450225113e+03
2.9483390783e+11	5.0485242621e+03
2.9574791251e+11	5.0520260130e+03
2.9666300297e+11	5.0555277639e+03
2.9757917904e+11	5.0590295148e+03
2.9849644060e+11	5.0625312656e+03
2.9941478748e+11	5.0660330165e+03
3.0033421955e+11	5.0695347674e+03
3.0125473666e+11	5.0730365183e+03
3.0217633867e+11	5.0765382691e+03
3.0309902543e+11	5.0800400200e+03
3.0402279679e+11	5.0835417709e+03
3.0494765261e+11	5.0870435218e+03
3.0587359274e+11	5.0905452726e+03
3.0680061703e+11	5.0940470235e+03
3.0772872535e+11	5.0975487744e+03
3.0865791753e+11	5.1010505253e+03
3.0958819345e+11	5.1045522761e+03
3.1051955294e+11	5.1080540270e+03
3.1145199587e+11	5.1115557779e+03
3.1238552208e+11	5.1150575288e+03
3.1332013143e+11	5.1185592796e+03
3.1425582377e+11	5.1220610305e+03
3.1519259896e+11	5.1255627814e+03
3.1613045684e+11	5.1290645323e+03
3.1706939728e+11	5.1325662831e+03
3.1800942011e+11	5.1360680340e+03
3.1895052520e+11	5.1395697849e+03
3.1989271240e+11	5.1430715358e+03
3.2083598156e+11	5.1465732866e+03
3.2178033253e+11	5.1500750375e+03
3.2272576515e+11	5.1535767884e+03
3.2367227930e+11	5.1570785393e+03
3.2461987481e+11	5.1605802901e+03
3.2556855154e+11	5.1640820410e+03
3.2651830933e+11	5.1675837919e+03
3.2746914805e+11	5.1710855428e+03
3.2842106754e+11	5.1745872936e+03
3.2937406765e+11	5.1780890445e+03
3.3032814824e+11	5.1815907954e+03
3.3128330915e+11	5.1850925463e+03
3.3223955023e+11	5.1885942971e+03
3.3319687134e+11	5.1920960480e+03
3.3415527233e+11	5.1955977989e+03
3.3511475305e+11	5.1990995498e+03
3.3607531334e+11	5.2026013007e+03
3.3703695307e+11	5.2061030515e+03
3.3799967207e+11	5.2096048024e+03
3.3896347020e+11	5.2131065533e+03
3.3992834730e+11	5.2166083042e+03
3.4089430324e+11	5.2201100550e+03
3.4186133786e+11	5.2236118059e+03
3.4282945100e+11	5.2271135568e+03
3.4379864252e+11	5.2306153077e+03
3.4476891227e+11	5.2341170585e+03
3.4574026010e+11	5.2376188094e+03
3.4671268585e+11	5.2411205603e+03
3.4768618938e+11	5.2446223112e+03
3.4866077053e+11	5.2481240620e+03
3.4963642916e+11	5.2516258129e+03
