# SiC (rock-salt structure) EOS
# low-density (below 7000.826816 kg/m^3) data come from Miozzi et al. (2018)
# high-density (above 7000.826816 kg/m^3) data come from Wilson & Militzer (2014)
# Pressure (Pa)	Density (kg/m^3)
4.9925486152e+10	4.5545868554e+03
5.0238848555e+10	4.5575737174e+03
5.0552601365e+10	4.5605605794e+03
5.0866744458e+10	4.5635474414e+03
5.1181277711e+10	4.5665343033e+03
5.1496201003e+10	4.5695211653e+03
5.1811514210e+10	4.5725080273e+03
5.2127217210e+10	4.5754948893e+03
5.2443309878e+10	4.5784817512e+03
5.2759792094e+10	4.5814686132e+03
5.3076663733e+10	4.5844554752e+03
5.3393924673e+10	4.5874423372e+03
5.3711574791e+10	4.5904291992e+03
5.4029613964e+10	4.5934160611e+03
5.4348042069e+10	4.5964029231e+03
5.4666858984e+10	4.5993897851e+03
5.4986064584e+10	4.6023766471e+03
5.5305658747e+10	4.6053635091e+03
5.5625641351e+10	4.6083503710e+03
5.5946012271e+10	4.6113372330e+03
5.6266771386e+10	4.6143240950e+03
5.6587918572e+10	4.6173109570e+03
5.6909453706e+10	4.6202978190e+03
5.7231376664e+10	4.6232846809e+03
5.7553687325e+10	4.6262715429e+03
5.7876385564e+10	4.6292584049e+03
5.8199471259e+10	4.6322452669e+03
5.8522944286e+10	4.6352321288e+03
5.8846804522e+10	4.6382189908e+03
5.9171051845e+10	4.6412058528e+03
5.9495686131e+10	4.6441927148e+03
5.9820707257e+10	4.6471795768e+03
6.0146115100e+10	4.6501664387e+03
6.0471909536e+10	4.6531533007e+03
6.0798090443e+10	4.6561401627e+03
6.1124657696e+10	4.6591270247e+03
6.1451611174e+10	4.6621138867e+03
6.1778950752e+10	4.6651007486e+03
6.2106676308e+10	4.6680876106e+03
6.2434787719e+10	4.6710744726e+03
6.2763284860e+10	4.6740613346e+03
6.3092167609e+10	4.6770481966e+03
6.3421435842e+10	4.6800350585e+03
6.3751089437e+10	4.6830219205e+03
6.4081128270e+10	4.6860087825e+03
6.4411552217e+10	4.6889956445e+03
6.4742361156e+10	4.6919825064e+03
6.5073554963e+10	4.6949693684e+03
6.5405133514e+10	4.6979562304e+03
6.5737096687e+10	4.7009430924e+03
6.6069444359e+10	4.7039299544e+03
6.6402176405e+10	4.7069168163e+03
6.6735292702e+10	4.7099036783e+03
6.7068793128e+10	4.7128905403e+03
6.7402677558e+10	4.7158774023e+03
6.7736945870e+10	4.7188642643e+03
6.8071597940e+10	4.7218511262e+03
6.8406633644e+10	4.7248379882e+03
6.8742052860e+10	4.7278248502e+03
6.9077855465e+10	4.7308117122e+03
6.9414041333e+10	4.7337985742e+03
6.9750610343e+10	4.7367854361e+03
7.0087562371e+10	4.7397722981e+03
7.0424897293e+10	4.7427591601e+03
7.0762614987e+10	4.7457460221e+03
7.1100715328e+10	4.7487328840e+03
7.1439198194e+10	4.7517197460e+03
7.1778063460e+10	4.7547066080e+03
7.2117311004e+10	4.7576934700e+03
7.2456940703e+10	4.7606803320e+03
7.2796952432e+10	4.7636671939e+03
7.3137346068e+10	4.7666540559e+03
7.3478121488e+10	4.7696409179e+03
7.3819278569e+10	4.7726277799e+03
7.4160817187e+10	4.7756146419e+03
7.4502737219e+10	4.7786015038e+03
7.4845038541e+10	4.7815883658e+03
7.5187721030e+10	4.7845752278e+03
7.5530784563e+10	4.7875620898e+03
7.5874229016e+10	4.7905489518e+03
7.6218054265e+10	4.7935358137e+03
7.6562260188e+10	4.7965226757e+03
7.6906846661e+10	4.7995095377e+03
7.7251813560e+10	4.8024963997e+03
7.7597160762e+10	4.8054832616e+03
7.7942888144e+10	4.8084701236e+03
7.8288995582e+10	4.8114569856e+03
7.8635482953e+10	4.8144438476e+03
7.8982350134e+10	4.8174307096e+03
7.9329597000e+10	4.8204175715e+03
7.9677223429e+10	4.8234044335e+03
8.0025229298e+10	4.8263912955e+03
8.0373614483e+10	4.8293781575e+03
8.0722378860e+10	4.8323650195e+03
8.1071522306e+10	4.8353518814e+03
8.1421044698e+10	4.8383387434e+03
8.1770945912e+10	4.8413256054e+03
8.2121225825e+10	4.8443124674e+03
8.2471884314e+10	4.8472993294e+03
8.2822921255e+10	4.8502861913e+03
8.3174336525e+10	4.8532730533e+03
8.3526130001e+10	4.8562599153e+03
8.3878301558e+10	4.8592467773e+03
8.4230851075e+10	4.8622336392e+03
8.4583778427e+10	4.8652205012e+03
8.4937083491e+10	4.8682073632e+03
8.5290766144e+10	4.8711942252e+03
8.5644826262e+10	4.8741810872e+03
8.5999263722e+10	4.8771679491e+03
8.6354078401e+10	4.8801548111e+03
8.6709270176e+10	4.8831416731e+03
8.7064838923e+10	4.8861285351e+03
8.7420784519e+10	4.8891153971e+03
8.7777106840e+10	4.8921022590e+03
8.8133805764e+10	4.8950891210e+03
8.8490881166e+10	4.8980759830e+03
8.8848332925e+10	4.9010628450e+03
