# Graphite EOS from Seager et al. (2007)
# Fitted to 3rd order BME EOS, rho0=2.25 g/cm3, K0 = 33.8 GPa, K'0 = 8.9
# Pressure (Pa)	Density (kg/m^3)
3.9951026172e+09	2.4443471736e+03
4.0183294305e+09	2.4452226113e+03
4.0416064627e+09	2.4460980490e+03
4.0649337584e+09	2.4469734867e+03
4.0883113621e+09	2.4478489245e+03
4.1117393185e+09	2.4487243622e+03
4.1352176723e+09	2.4495997999e+03
4.1587464679e+09	2.4504752376e+03
4.1823257502e+09	2.4513506753e+03
4.2059555636e+09	2.4522261131e+03
4.2296359528e+09	2.4531015508e+03
4.2533669626e+09	2.4539769885e+03
4.2771486374e+09	2.4548524262e+03
4.3009810220e+09	2.4557278639e+03
4.3248641611e+09	2.4566033017e+03
4.3487980993e+09	2.4574787394e+03
4.3727828812e+09	2.4583541771e+03
4.3968185517e+09	2.4592296148e+03
4.4209051552e+09	2.4601050525e+03
4.4450427366e+09	2.4609804902e+03
4.4692313405e+09	2.4618559280e+03
4.4934710117e+09	2.4627313657e+03
4.5177617948e+09	2.4636068034e+03
4.5421037345e+09	2.4644822411e+03
4.5664968756e+09	2.4653576788e+03
4.5909412628e+09	2.4662331166e+03
4.6154369408e+09	2.4671085543e+03
4.6399839544e+09	2.4679839920e+03
4.6645823482e+09	2.4688594297e+03
4.6892321671e+09	2.4697348674e+03
4.7139334558e+09	2.4706103052e+03
4.7386862590e+09	2.4714857429e+03
4.7634906216e+09	2.4723611806e+03
4.7883465882e+09	2.4732366183e+03
4.8132542036e+09	2.4741120560e+03
4.8382135127e+09	2.4749874937e+03
4.8632245603e+09	2.4758629315e+03
4.8882873910e+09	2.4767383692e+03
4.9134020497e+09	2.4776138069e+03
4.9385685813e+09	2.4784892446e+03
4.9637870304e+09	2.4793646823e+03
4.9890574420e+09	2.4802401201e+03
5.0143798608e+09	2.4811155578e+03
5.0397543317e+09	2.4819909955e+03
5.0651808995e+09	2.4828664332e+03
5.0906596091e+09	2.4837418709e+03
5.1161905052e+09	2.4846173087e+03
5.1417736327e+09	2.4854927464e+03
5.1674090365e+09	2.4863681841e+03
5.1930967614e+09	2.4872436218e+03
5.2188368523e+09	2.4881190595e+03
5.2446293541e+09	2.4889944972e+03
5.2704743116e+09	2.4898699350e+03
5.2963717697e+09	2.4907453727e+03
5.3223217734e+09	2.4916208104e+03
5.3483243674e+09	2.4924962481e+03
5.3743795967e+09	2.4933716858e+03
5.4004875062e+09	2.4942471236e+03
5.4266481408e+09	2.4951225613e+03
5.4528615454e+09	2.4959979990e+03
5.4791277649e+09	2.4968734367e+03
5.5054468443e+09	2.4977488744e+03
5.5318188284e+09	2.4986243122e+03
5.5582437623e+09	2.4994997499e+03
5.5847216908e+09	2.5003751876e+03
5.6112526589e+09	2.5012506253e+03
5.6378367116e+09	2.5021260630e+03
5.6644738937e+09	2.5030015008e+03
5.6911642503e+09	2.5038769385e+03
5.7179078264e+09	2.5047523762e+03
5.7447046669e+09	2.5056278139e+03
5.7715548167e+09	2.5065032516e+03
5.7984583210e+09	2.5073786893e+03
5.8254152246e+09	2.5082541271e+03
5.8524255725e+09	2.5091295648e+03
5.8794894098e+09	2.5100050025e+03
5.9066067815e+09	2.5108804402e+03
5.9337777325e+09	2.5117558779e+03
5.9610023079e+09	2.5126313157e+03
5.9882805527e+09	2.5135067534e+03
6.0156125120e+09	2.5143821911e+03
6.0429982307e+09	2.5152576288e+03
6.0704377539e+09	2.5161330665e+03
6.0979311267e+09	2.5170085043e+03
6.1254783941e+09	2.5178839420e+03
6.1530796011e+09	2.5187593797e+03
6.1807347929e+09	2.5196348174e+03
6.2084440144e+09	2.5205102551e+03
6.2362073107e+09	2.5213856928e+03
6.2640247270e+09	2.5222611306e+03
6.2918963083e+09	2.5231365683e+03
6.3198220997e+09	2.5240120060e+03
6.3478021463e+09	2.5248874437e+03
6.3758364932e+09	2.5257628814e+03
6.4039251854e+09	2.5266383192e+03
6.4320682682e+09	2.5275137569e+03
6.4602657865e+09	2.5283891946e+03
6.4885177856e+09	2.5292646323e+03
6.5168243106e+09	2.5301400700e+03
6.5451854065e+09	2.5310155078e+03
6.5736011185e+09	2.5318909455e+03
6.6020714918e+09	2.5327663832e+03
6.6305965715e+09	2.5336418209e+03
6.6591764027e+09	2.5345172586e+03
6.6878110307e+09	2.5353926963e+03
6.7165005005e+09	2.5362681341e+03
6.7452448574e+09	2.5371435718e+03
6.7740441465e+09	2.5380190095e+03
6.8028984129e+09	2.5388944472e+03
6.8318077020e+09	2.5397698849e+03
6.8607720588e+09	2.5406453227e+03
6.8897915286e+09	2.5415207604e+03
6.9188661565e+09	2.5423961981e+03
6.9479959878e+09	2.5432716358e+03
6.9771810676e+09	2.5441470735e+03
7.0064214413e+09	2.5450225113e+03
7.0357171539e+09	2.5458979490e+03
7.0650682508e+09	2.5467733867e+03
7.0944747771e+09	2.5476488244e+03
7.1239367782e+09	2.5485242621e+03
7.1534542991e+09	2.5493996998e+03
7.1830273853e+09	2.5502751376e+03
7.2126560819e+09	2.5511505753e+03
7.2423404342e+09	2.5520260130e+03
7.2720804875e+09	2.5529014507e+03
7.3018762870e+09	2.5537768884e+03
7.3317278780e+09	2.5546523262e+03
7.3616353058e+09	2.5555277639e+03
7.3915986156e+09	2.5564032016e+03
7.4216178528e+09	2.5572786393e+03
7.4516930626e+09	2.5581540770e+03
7.4818242904e+09	2.5590295148e+03
7.5120115815e+09	2.5599049525e+03
7.5422549811e+09	2.5607803902e+03
7.5725545346e+09	2.5616558279e+03
7.6029102873e+09	2.5625312656e+03
7.6333222845e+09	2.5634067034e+03
7.6637905716e+09	2.5642821411e+03
7.6943151938e+09	2.5651575788e+03
7.7248961967e+09	2.5660330165e+03
7.7555336253e+09	2.5669084542e+03
7.7862275253e+09	2.5677838919e+03
7.8169779418e+09	2.5686593297e+03
7.8477849203e+09	2.5695347674e+03
7.8786485060e+09	2.5704102051e+03
7.9095687445e+09	2.5712856428e+03
7.9405456811e+09	2.5721610805e+03
7.9715793611e+09	2.5730365183e+03
8.0026698300e+09	2.5739119560e+03
8.0338171331e+09	2.5747873937e+03
8.0650213158e+09	2.5756628314e+03
8.0962824236e+09	2.5765382691e+03
8.1276005019e+09	2.5774137069e+03
8.1589755960e+09	2.5782891446e+03
8.1904077514e+09	2.5791645823e+03
8.2218970135e+09	2.5800400200e+03
8.2534434277e+09	2.5809154577e+03
8.2850470395e+09	2.5817908954e+03
8.3167078944e+09	2.5826663332e+03
8.3484260377e+09	2.5835417709e+03
8.3802015149e+09	2.5844172086e+03
8.4120343715e+09	2.5852926463e+03
8.4439246529e+09	2.5861680840e+03
8.4758724047e+09	2.5870435218e+03
8.5078776722e+09	2.5879189595e+03
8.5399405009e+09	2.5887943972e+03
8.5720609364e+09	2.5896698349e+03
8.6042390241e+09	2.5905452726e+03
8.6364748094e+09	2.5914207104e+03
8.6687683380e+09	2.5922961481e+03
8.7011196553e+09	2.5931715858e+03
8.7335288069e+09	2.5940470235e+03
8.7659958381e+09	2.5949224612e+03
8.7985207946e+09	2.5957978989e+03
8.8311037219e+09	2.5966733367e+03
8.8637446654e+09	2.5975487744e+03
8.8964436708e+09	2.5984242121e+03
8.9292007836e+09	2.5992996498e+03
8.9620160492e+09	2.6001750875e+03
8.9948895133e+09	2.6010505253e+03
9.0278212215e+09	2.6019259630e+03
9.0608112192e+09	2.6028014007e+03
9.0938595520e+09	2.6036768384e+03
9.1269662656e+09	2.6045522761e+03
9.1601314054e+09	2.6054277139e+03
9.1933550171e+09	2.6063031516e+03
9.2266371462e+09	2.6071785893e+03
9.2599778383e+09	2.6080540270e+03
9.2933771391e+09	2.6089294647e+03
9.3268350941e+09	2.6098049025e+03
9.3603517489e+09	2.6106803402e+03
9.3939271492e+09	2.6115557779e+03
9.4275613405e+09	2.6124312156e+03
9.4612543685e+09	2.6133066533e+03
9.4950062787e+09	2.6141820910e+03
9.5288171169e+09	2.6150575288e+03
9.5626869287e+09	2.6159329665e+03
9.5966157597e+09	2.6168084042e+03
9.6306036555e+09	2.6176838419e+03
9.6646506618e+09	2.6185592796e+03
9.6987568243e+09	2.6194347174e+03
9.7329221885e+09	2.6203101551e+03
9.7671468003e+09	2.6211855928e+03
9.8014307051e+09	2.6220610305e+03
9.8357739489e+09	2.6229364682e+03
9.8701765771e+09	2.6238119060e+03
9.9046386355e+09	2.6246873437e+03
9.9391601697e+09	2.6255627814e+03
9.9737412256e+09	2.6264382191e+03
1.0008381849e+10	2.6273136568e+03
1.0043082085e+10	2.6281890945e+03
1.0077841980e+10	2.6290645323e+03
1.0112661579e+10	2.6299399700e+03
1.0147540928e+10	2.6308154077e+03
1.0182480073e+10	2.6316908454e+03
1.0217479060e+10	2.6325662831e+03
1.0252537934e+10	2.6334417209e+03
1.0287656741e+10	2.6343171586e+03
1.0322835527e+10	2.6351925963e+03
1.0358074337e+10	2.6360680340e+03
1.0393373218e+10	2.6369434717e+03
1.0428732215e+10	2.6378189095e+03
1.0464151374e+10	2.6386943472e+03
1.0499630740e+10	2.6395697849e+03
1.0535170359e+10	2.6404452226e+03
1.0570770278e+10	2.6413206603e+03
1.0606430542e+10	2.6421960980e+03
1.0642151196e+10	2.6430715358e+03
1.0677932287e+10	2.6439469735e+03
1.0713773860e+10	2.6448224112e+03
1.0749675962e+10	2.6456978489e+03
